name,space,neighbourhood_cleansed,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,amenities,square_feet,price,cleaning_fee,minimum_nights,maximum_nights,reviews_per_month,host_acceptance_rate
"2 BD / 2BA WITH GARDEN, SLEEPS 6","WE HAVE REDUCED OUR RATE! We have not had a chance to renovate our upstairs bathroom yet so it is quite dated + we would love for whomever stays at our place to water our garden for us at least once :) DUPLEX apt in a brownstone: 2 bedrooms & 2 bathrooms.  It is on the ground floor of a 3 unit building & is on the border of Prospect Heights / Crown Heights. Lots of great cafes, restaurants, museums & gardens nearby. You will have use of a kitchen, dining area, 2 bathrooms, a living room, 2 bedrooms & a private garden. The garden has both gas & charcoal grills.   WE PROVIDE:  - Fresh bed linens & towels  - Coffee maker, coffee, assorted teas & creamer or milk - fast Wi-Fi, TVs w/ premium channels, DVD players & Amazon Fire Sticks for Netflix etc.  - NYC Guides, a Brooklyn Guide, Subway maps & recommendations AND free admission to most museums / cultural institutions. Note: Smoking is allowed in the garden and the front stoop areas ONLY. No pets. There are very comfy queen beds in the ma",Crown Heights,40.67679,-73.95639,Apartment,Entire home/apt,2,2,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$225.00,$80.00,4,20,0.01,0%
Charming Ridgewood Soulful  Walk-Up,"Stay in a lovely artist pad just 3 blocks from the L train-- about  as close as you can get without losing the trees, and old NYC brownstone architecture. There is even a view of backyard gardens from our kitchen window! Guests will have a large and sunny private room with a private entrance ! It's an ideal spot to crash after exploring New York City and Brooklyn!  You will be just 15/20 minutes by train from Manhattan in a real NYC neighborhood. Laundromat, Supermarket, Pharmacy are only a couple  blocks away! Ridgewood is quiet and residential just NorthEast of trendy Bushwick - about a 15 minute bicycle ride to historic Williamsburg. Airbnb has a nice description of the neighborhood here: airbnb.com/locations/new-york/ridgewood The Apt is on a tree lined block less than a few blocks from the the L and the M  trains. The M train provides a direct route to Museum of Modern Art, Greenwich Village, Herald Square, Rockefeller Center and more. The L train passes through Bushwick and Willi",Ridgewood,40.70215,-73.91139,Apartment,Private room,1,1,1,"{Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",Heating,Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}",,$55.00,,3,365,1.13,89%
"Comfortable, well-appointed room","Located in a picturesque, tree-lined street in Prospect Heights--the apartment is in a quiet coop (historic, landmark building)... minutes from the Brooklyn Museum, Botanic Garden, the Brooklyn Public Library, Grand Army Plaza, and Prospect Park.  there is a wide variety of cafes, bars, and restaurants to choose from--from raw food, to vegan, and gourmet cuisine. ample hills, the gourmet ice cream indulgence, is a few blocks away--and should be part of your itinerary, if you visit NYC.",Prospect Heights,40.67339,-73.96519,Apartment,Private room,1,1,1,"{Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}",,$100.00,$20.00,2,30,0.82,73%
Elegant Spacious Family Townhouse,"Summer 2018 in the city! One week minimum rental.  Experience Manhattan townhouse living in this comfortable and spacious ”brownstone” apartment located right in the heart of Manhattan’s Upper West Side!  Our bright, sunny, large, well-appointed apartment is an excellent base from which to explore the city. The living space of this apartment takes up the entire 2nd floor, originally called the parlor floor by the wealthy merchant family who built it in 1875.  The apartment is a duplex, and two bedrooms are upstairs on the third floor of the building. The apartment can sleep 4 people comfortably, and up to 6 if needed.  Upstairs, one small bedroom has a queen bed--the bed is against the wall on one side--please see photos.   The other, larger one, has two twin beds.   Downstairs, the den can fit a twin airbed.   A twin air mattress is available for the living room if needed as well. A third, twin airbed is available upon request.  There is one full bathroom upstairs (with shower and bat",Upper West Side,40.77892,-73.98238,Apartment,Entire home/apt,2,2,3,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed""}",,$499.00,$150.00,30,60,0.66,29%
Brooklyn Getaway overlooking McCarren Park,"The apartment is designed with a carefully curated collection of objects and furniture that give it a cozy cabin lodge atmosphere.   The main rooms have massive windows that keep the place bright during the day and with an amazing view of the Park, the sky and neighborhood below.  It includes high-speed wifi, huge work desk space, hi-fi surround sound in the living room, fully equipped kitchen, blackout curtains in both living room and bedroom.  Please feel free to contact me with any questions you may have!",Greenpoint,40.72372,-73.95106,Apartment,Entire home/apt,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",700,$174.00,$85.00,2,30,0.8,95%
Bright And Large Master Bedroom - Williamsburg,"Hey Ya'll, We love having guests! We would love to host you during your travels!! Come and join  This is the master bedroom in a three-bedroom flat in Brooklyn in the newly remodeled pre-war Edward Apartments.  The classy remodel kept exposed brick walls and enormous south-facing windows.  Kitchen is brand new and well-appointed by a foodie.  The roof deck a few floors up (almost like an additional living room) is stunning.  We have yet to find a more perfect spot for morning yoga or an evening smoke or beer.  And it has a fireplace.  You get a Queen and plenty of dresser and closet space to make yourself at home.  We have a hair drier, towels and toiletries for you. You are located half a block from Bedford avenue, the center of the action in the coolest neighborhood in town.  Nearby you'll find (among many more) The Sketchbook Project, Mast Brothers' Chocolate, Traif, Blue Bottle Coffee, Spuytin' Duyvil, Saltie, Pies 'n Thighs, Cafe Moto, Marlow & Sons, Marlow & Duaghters, EAT, the B",Williamsburg,40.71336,-73.96192,Apartment,Private room,1,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""Babysitter recommendations"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Beach essentials"",""Luggage dropoff allowed"",""Host greets you"",""Baking sheet"",""Trash can""}",,$88.00,$30.00,1,10,2.41,92%
Real Williamsburg Artist Loft,"Prime location in Williamsburg, New York’s most exciting neighborhood!!! We sublease our big furnished live and work factory loft on a weekly or monthly base while we are travelling in Europe.  The loft is located in an old glove factory building that has been carefully renovated and is very well maintained. The loft : -is 800 sqf big, with wooden floors -is very sunny, with beautiful light, south exposure -is located on the top floor with lots of light and sky (very rare in NY) -has a fully equipped kitchen -has nicely designed bathroom with bathtub -has a very comfortable new queen size bed -has a big table for dinner with friends -has fast high speed internet access -is very tidy and clean The building: -former glove factory, brick, beautiful details, fully renovated in 2009 -gym -washer and dryer -only two blocks from L-Train that brings you directly into Manhattan. Easy access to all other subway lines.  -great restaurants and cafés nearby  -bus in front of building -great grocery",Williamsburg,40.71368,-73.94478,Loft,Entire home/apt,1,1,0,"{Internet,Wifi,""Air conditioning"",Kitchen,Gym,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed""}",,$160.00,$60.00,3,180,0.27,80%
Lovely Upper East Yorkville 1 BDRM,"Upper East Side one bedroom apartment on quiet side street, wireless internet, near museums and great neighborhood. Easy access to the new second avenue subway a block away! The 86th and Lex subway is close as well. The spectacular Fairway Grocery Store, Barnes and Noble, and wonderful stores and restaurants nearby. Walk to Carl Shurz Park and enjoy the view of East River and dog walkers. Bedroom with new queen bed, plus sofa bed (double) in sunny living room.  New stove and refrigerator in kitchen, stainless sink. Bathroom with tub and shower.  Enjoy uncluttered space with street view.  A terrific alternative to hotel, turnkey ready to enjoy. Your comfort is important to me.",Upper East Side,40.7761,-73.95265,Apartment,Entire home/apt,1,1,2,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,Other}",,$219.00,$95.00,4,60,1.15,100%
VILLA V SOHO/NOLITA NYC,PRIME LOCATION our Duplex with 2 outdoor spaces. 12ft ceilings completely private.,SoHo,40.72597,-74.00306,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating}",,$218.00,$125.00,3,60,0.26,47%
Cozy Upper East Side Studio,"Studio apartment in the Upper East Side, 2 min. walk from downtown/uptown express bus, 4 min walk from Q line subway station (entrance to 86th St. on the corner of 83rd and 2nd) 10 min. walk from green lines subway stations (86th and 77th st.), restaurants, bars, shopping and grocery stores and pharmacies steps away. The place is suitable for 1 or 2 guests (double bed). Internet, heating, air-conditioner in the summer - everything you need in a perfect Manhattan pad! I am subletting when I'm away - so you have the privacy of a hotel with the comfort of a home :-)",Upper East Side,40.77471,-73.95574,Apartment,Entire home/apt,1,1,4,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water""}",,$159.00,$70.00,2,30,0.48,69%
"Large Cozy Room #2, Landmark Home 1 Block to PRATT","Large bedroom (300+ square feet) available in 3bd/ 3ba four floor two-family brick home built in (Phone number hidden by Airbnb) + square ft) on a safe, tree-lined, landmark block in Clinton Hill, Brooklyn diagonally across the street from Pratt's Higgin's Hall and 1 blk from Choice market. Room features large walk in closet, hardwood floors, exposed brick wall with pretty but non-working fireplace.  The room is furnished with a wood full size storage bed with four drawers, a desk, two dressers, two nightstands and a love seat that converts to full size floor bed). This room shares a large newly renovated bathroom with one other bedroom that is located one floor below. All utilities are included: heat, electric, gas, wi-fi, every other week cleaning service for common areas (kitchen, bath, foyer, stairs and hallway). The house is in a great location, right around the corner from the G-train at Clinton-Washington and three blocks from C-train at Clinton-Washington. It is an easy walk to",Clinton Hill,40.68625,-73.96446,Townhouse,Private room,1,1,2,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",,$180.00,$100.00,3,1125,0.24,96%
"Lovely studio in East Village, NY","A lovely and clean studio apartment on the 4th floor of a small building.  Stairs are easy to climb and not too steep.  There is a comfortable queen sized bed to sleep on with a full kitchen at your disposal. Location can't be beat with Soho, East village, Nolita and Lower East Side within walking distance.  Subway stations are closeby (within 1 to 5 minute walk depending on the subway line)  Whole foods (organic, gourmet supermarket) is 1 block away.  Wifi included.   Since this is my home, looking for respectful, quiet guests.  Thank you!",East Village,40.725,-73.98851,Apartment,Entire home/apt,1,0,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials}",300,$150.00,$75.00,5,13,0.02,N/A
Your Historic House in Brooklyn,"Enjoy spacious and historic Victorian living while visiting New York City!  Our unique Victorian house is located in landmarked Ditmas Park, Brooklyn, only a 5-minute walk from an express train that takes you to Manhattan in 20/30 minutes (B and Q trains, Newkirk Plaza). This 1904 four-story house of 2600 sf (240m2) features: - Five bedrooms, all with AC. For up to 9 persons.   - Large living room with wood burning fireplace. - Large kitchen with Viking stove, dishwasher and eat-in area, which is inundated with exquisite morning sunlight.   - 2 full bathrooms and 2 restrooms.   - Washer/dryer in the basement.  - Playroom and gym with punching bag, trapeze, free weight and training bike in the basement. - 42' TV with BlueRay and access to Netflix, Hulu Plus and Amazon Prime content.  - Wifi access. - Study with Yamaha electronic piano.  - Toys, fun family games, and books in English, French and Spanish. - Frontyard, backyard and driveway that fits up to four cars. - Front porch with a s",Flatbush,40.63593,-73.96076,House,Entire home/apt,2.5,5,6,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Gym,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials}",,$500.00,$200.00,4,21,0.1,N/A
Creative Director's Chinatown Loft,"Chinatown / Lower East Side is a fabulous neighborhood for creatives, with new galleries, restaurants & shops opening regularly that complement the established classics the neighborhood is known for.  Short walk to SoHo, TriBeCa, East Village; Williamsburg & DUMBO just over the bridges. Grand Street Station (D Train) two blocks away.  Check out the Guidebook page here for my recommendations — a comfortable apartment to spend time in when not out & about, enjoying New York.",Chinatown,40.71638,-73.99167,Loft,Entire home/apt,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Coffee maker"",""Dishes and silverware""}",800,$250.00,$175.00,5,130,0.16,93%
"HOSTING YOUR COZY,  ECLECTIC MILIEU FOR NYC VISIT","Your room is warm, cozy, quiet and private, located on a lovely courtyard , so it is peaceful in the day (conducive to study/working).   Great sleeping at night.   Elevator in building, very secure.  Security cameras. Wireless internet, TV.  Laundry on premises.   The train, it is right here at the building.  You can be downtown in minutes.  Very convenient for any mode of transportation (train, bus)  If you have a car there are parking garages nearby & street parking (READ THE SIGNS POSTED!). Car rental nearby if you need it (they will pick you up). Very close to all major routes & thoroughfares for getting to New York State vistas.  Located in great neighborhood... All amenities, restaurants, markets, shopping nearby.  4 lovely Parks within walking distance. very easy commute to all NYC  attractions.      This is a rather old fashion neighborhood in terms of the architecture.  The building you would be staying in was built in 1920.  So there is a charming and historical pre-war feel ",Inwood,40.86658,-73.92558,Apartment,Private room,1,1,1,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Pets live on this property"",Cat(s),Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,Crib,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you"",""Baking sheet"",""Trash can""}",175,$87.00,$75.00,7,75,1.09,100%
Charming private room in New-York,"This is a sweet, furnished, Sunny room. All included: Utilities, fast Wi-Fi, fully equipped kitchen,  clean towels & sheets. There's a beautiful patio in the back & great view from roof overlooking Manhattan. This is a shared apt (your room is a private room of course), I live here with my girlfriend Kelli. We both travel often so chances you'll get some alone time - but we're always a text message away if anything is needed!  When we're in town - I work from home and Kelli works at the Bronx, so she's around in the evenings mostly but not during the day. If this room isn't available on the dates you need, check out our other room (same apartment): https://www.airbnb.com/rooms/411525 feel free to contact me with any question,  Jonathan",Williamsburg,40.71179,-73.96449,Apartment,Private room,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""BBQ grill"",""Patio or balcony"",""Host greets you""}",,$79.00,$39.00,5,250,0.5,63%
Murray Hill/NYC Reduced Winter Special,"Apt has Wifi and a large flat screen television for streaming, a new sofa, bed, new mattress, and is on the corner from great restaurants, convenience stores, dry cleaning, liquor store, book store, movie theater, 2 blocks from the train, and in the dead center of Manhattan convenient to everything...",Kips Bay,40.74016,-73.97665,Apartment,Entire home/apt,1,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,Other}",,$106.00,$100.00,1,365,0.37,96%
"Awesome views, Central location","Two full bedrooms, 2 full bathrooms. High floor, views out both ends of apt. North and South. One block from Empire State building with view of. Full kitchen equipped with dishwasher, pots/pans, etc. Elevator, laundry. New King size and Queen bed.  A 46"" flatscreen with standard wifi, internet, stereo, etc.  Please note, there is no television/cable service for the flatscreen. There is a/c in each room, and there will be extra fees for excessive use (i.e., leaving a/c on all day long, we recommend using only when in apartment to avoid fees). One block from B, D, V, F, N, R, Q, W, and 4,5,6 trains. Two blocks from 1,2,3,9 trains and three blocks from A, C, E trains. Thanks. Deposit required.",Midtown,40.75023,-73.98293,Apartment,Entire home/apt,2,2,2,"{Wifi,""Air conditioning"",Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Long term stays allowed"",Other}",,$299.00,$150.00,10,1125,0.36,94%
"Beautiful 2bd Apt near BK Museum, Crown Heights","Sunlit spacious Brooklyn apartment. Fully furnished and includes high-speed wireless internet, and full kitchen. Located on the corner off Franklin Ave in Crown Heights. Steps to great restaurants on Franklin Ave!    We have 1 queen (Memory Foam), 2 full-sized (bunk) beds: 6 people max. We live in the building; it's quiet, well taken care of...with  love and attention to detail. Its peaceful; if you're looking for a beautiful, comfortable, tranquil space after a day of enjoying NYC then this is perfect for you. If you're looking for a place to party, then this is not suitable. It's also not appropriate for children. Barclays Center is One express train stop away! (3 min)  Fulton Mall Brooklyn (5 min) Two train stops SoHo (15 mins)  Union Square (20 mins)  Grand Central (25 mins) Herald Square, (25 mins)  Times Square, (30 mins)  Central Park or 1 block from Columbus Circle (about 35 mins)  Note: All train time estimates are from NYC Subway app Apt INCLUDES  - 2 bedrooms  - living room ",Crown Heights,40.66763,-73.95836,Apartment,Entire home/apt,1,2,3,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private entrance"",Bathtub,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",750,$165.00,$130.00,2,1125,0.27,88%
Artist's Flat in Historic Building #10263,"The apartment has all wood floors and tons of natural light. The apartment is furnished with a full size bed. Towels, linens and internet access are included. The front bedroom is cooled by a window air conditioner and the back bedroom is cooled by a portable air conditioner that can be moved to cool the common areas as needed on warmer summer days.   -- Special note: Built in the 1860s, Henry Miller was born next door! The apartment quirky with an artist's flare. The perfect space for those who love odd and unusual art. If you are looking for a cozy, centrally located home-base for your visit to NYC, look no further! -- *Want to watch a little documentary about Fillmore Place? Do a video search with the term ""Fillmore Place + Williamsburg""",Williamsburg,40.71417,-73.95917,Apartment,Entire home/apt,1,2,2,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",,$200.00,$160.00,30,1125,0.55,80%
Cozy bedroom near Times Square,"Private bedroom in a 3 bedroom duplex apartment.  Centrally located, 8 minute walk (2 avenues) to Times Square, Theatre District, many Subway lines (A, C, E, N, R, Q, W, 1, 2, 3, 7), taxis available outside the front door of apartment. The apartment is between 9th and 10th avenues. The avenues are lined with restaurants, bars, delis, grocery stores, laundry. The apartment building has NO ELEVATOR and a 5th floor walkup (about 80 stairs) With your inquiry please indicate if you have a lot of luggage as the apartment is not well suited for guests with a lot of luggage. Host lives in a bedroom upstairs (6th floor). The other bedroom may have another AirBnb guest(s) (single or couple). Kitchen, Living area and main bathroom are shared. The host has a half bath upstairs, so seldom occupies main bathroom.  All bedrooms are spread out at opposite ends of the apartment, though please note this apartment is close to the living area and kitchen.   This bedroom, while it has more natural light (2",Hell's Kitchen,40.76186,-73.99165,Apartment,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Smoke detector"",Essentials,""Hair dryer"",Iron,""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",,$75.00,$50.00,2,1125,2.24,92%
Queen size sofa bed in Harlem,"One bedroom apartment with a queens size sofa-bed available.You will have access to a full equipped kitchen and bathroom.  Also available in the apartment: Internet and cable. Situated at the 4th FL, the building got elevator Supermarket and subway are 2 blocks away.",Harlem,40.82772,-73.93877,Apartment,Private room,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",Essentials,""Hair dryer"",Iron,""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}",,$80.00,$60.00,1,14,0.33,75%
NEWLY REMODELED 1 Bedroom Apt in Bklyn Limestone 2,"This private space has secure, private entry using automated digital locks. When you arrive at our home, you will enter the property through the main front door. The space is upstairs and encompasses the front half of the house. There is a private entry into the space that uses a digital lock with code.  Within the private space there is a living room, bathroom and small bedroom.  This entire space is private only to you - no sharing of any of the rooms.  In the bedroom there is a bunk bed with a full size bed on the bottom and a single bed on top.  In the living room there is a full size sleeper sofa and a single size sleeper chair.  We also have rolling beds that can be brought in to accommodate additional sleepers.  In the private bathroom, there is a shower.  The space also includes a small fridge and microwave.  There is a fully stocked kitchen on the main floor of the house that is shared.  You are welcome to cook meals at any time during your stay.  There is also a large back de",East Flatbush,40.63602,-73.94607,House,Entire home/apt,1,1,4,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Cleaning before checkout""}",,$76.00,$100.00,3,14,0.68,72%
"Bright, new luxury apartment in doorman building","This a light-filled, clean and modern two bedroom, two bathroom. Spacious open plan living room and kitchen with floor to ceiling windows, large flat screen television. Master bedroom with full bath en suite, two sinks. Kids bedroom has twin beds with third pull-out bed. Second bathroom also has full bath. Washing machine and dryer.",Upper West Side,40.79526,-73.9655,Apartment,Entire home/apt,2,2,4,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Paid parking off premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",Bathtub,""Window guards"",""Babysitter recommendations"",""Children’s dinnerware"",""Hot water"",""Dishes and silverware"",""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}",900,$387.00,$100.00,1,1125,0.53,50%
Serenity amidst the busy city,"SPECIAL RATES FOR STRANDED TRAVELERS DUE TO HURRICANE  SANDY  Loveky apartment  in the heart of the Upper East Side near shopping, nightlife, and major NYC attractions. You will be 10 min walk to Central Park. Close to wonderful museums MET, Guggenheim , Frick, Natural history , tons of restaurants , art galleries and boutiques Very big , comfortable and quiet apartment Near major subways (4, 5, 6),  Second avenue Q train  Double Bed, extra futon and a sofa Eat-in dining area Modern Bath and Kitchen with everything you need gas stove, full size fridge, microwave, coffeemaker, blender, pots, pans, glasses.... Fresh towels, pillows, linens and blankets included Toiletries like shampoos, body wash, hair products, moisturizers etc Hair dryer, iron, umbrellas, tourist guides, books, CDs, yoga mat Cable HD TV, DVD,CD, Mp3 Fast Internet connection and a PC to use Wi Fi $99 a day all inclusive Special Promotion for February : Flexible rate $50- $135 depending on availability Please contact me ",Upper East Side,40.77631,-73.95289,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Window guards"",""Room-darkening shades"",""Hot water"",""Long term stays allowed""}",,$121.00,$80.00,1,28,0.17,59%
